type,lat,lng,icon,name/subheader,subheader/text,description,size,angle,spacing,curve,coords,style,overlay
marker,-72.57424976385356,-23.26904296875,settlement,Marker,,,,,,,,{},Settlements
marker,-70.12542991464234,4.855957031250001,settlement,Marker,,,,,,,,{},Settlements
marker,-74.45524706208214,-34.34326171875001,settlement,Marker,,,,,,,,{},Settlements
marker,-73.07384351277217,-31.552734375000004,settlement,Marker,,,,,,,,{},Settlements
marker,-75.66675882465918,-42.42919921875001,settlement,Marker,,,,,,,,{},Settlements
marker,-75.85591106616448,-42.64892578125001,settlement,Marker,,,,,,,,{},Settlements
marker,-76.03201380959756,-42.20947265625,settlement,Marker,,,,,,,,{},Settlements
marker,-76.33633385775283,-42.5390625,settlement,Marker,,,,,,,,{},Settlements
marker,-75.13514201950775,-37.41943359375001,settlement,Marker,,,,,,,,{},Settlements
marker,-75.53013598609306,-30.498046875000004,settlement,Marker,,,,,,,,{},Settlements
marker,-75.70478638174053,-32.60742187500001,agriculture,Marker,,,,,,,,{},
marker,-74.85641315279072,-27.114257812500004,agriculture,Marker,,,,,,,,{},
marker,-71.6774828543785,-19.951171875000004,settlement,Marker,,,,,,,,{},Settlements
marker,-71.89040942842333,-21.467285156250004,settlement,Marker,,,,,,,,{},Settlements
marker,-71.86306997499312,-19.753417968750004,settlement,Marker,,,,,,,,{},Settlements
marker,-71.32191469801221,-15.029296875000002,settlement,Marker,,,,,,,,{},Settlements
marker,-71.76019138754776,-16.721191406250004,settlement,Marker,,,,,,,,{},Settlements
marker,-71.91088787611527,-14.765625000000002,settlement,Marker,,,,,,,,{},Settlements
marker,-72.3424643905499,-13.886718750000002,settlement,Marker,,,,,,,,{},Settlements
marker,-72.6530383592017,-16.918945312500004,settlement,Marker,,,,,,,,{},Settlements
marker,-75.68306846179547,-122.49755859375001,settlement,Marker,,,,,,,,{},
marker,-75.25864871532573,-125.61767578125001,settlement,Marker,,,,,,,,{},
marker,-75.85591106616448,-124.67285156250001,settlement,Marker,,,,,,,,{},
marker,-75.05035357407698,-118.95996093750001,settlement,Marker,,,,,,,,{},
marker,-75.01630602063717,-116.87255859375001,settlement,Marker,,,,,,,,{},
marker,-75.47513069090053,-116.96044921875,settlement,Marker,,,,,,,,{},
marker,-76.44490733708945,-44.71435546875,settlement,Marker,,,,,,,,{},Settlements
marker,-76.14295846479848,-45.966796875,settlement,Marker,,,,,,,,{},Settlements
marker,-76.58325853729983,-46.51611328125,settlement,Marker,,,,,,,,{},Settlements
marker,-76.8207925254374,-48.69140625,settlement,Marker,,,,,,,,{},Settlements
marker,-77.03941844273028,-49.37255859375001,settlement,Marker,,,,,,,,{},Settlements
marker,-77.0836963067392,-50.42724609375001,settlement,Marker,,,,,,,,{},Settlements
marker,-75.30331101068566,-47.06542968750001,settlement,Marker,,,,,,,,{},Settlements
marker,-74.83918324990893,-55.4150390625,settlement,Marker,,,,,,,,{},Settlements
marker,-75.67763393603113,-56.6455078125,settlement,Marker,,,,,,,,{},Settlements
marker,-75.53562529096112,-68.88427734375001,settlement,Marker,,,,,,,,{},Settlements
marker,-74.74696664174384,-70.09277343750001,settlement,Marker,,,,,,,,{},Settlements
marker,-75.18017014726308,-67.25830078125001,settlement,Marker,,,,,,,,{},Settlements
marker,-13.902075852500483,72.57568359375001,forts,Marker,,,,,,,,{},
marker,34.97600151317588,63.30322265625001,forts,Marker,,,,,,,,{},
marker,40.78054143186033,80.02441406250001,forts,Marker,,,,,,,,{},
marker,41.492120839687786,82.88085937500001,forts,Marker,,,,,,,,{},
marker,42.74701217318067,79.6728515625,forts,Marker,,,,,,,,{},
marker,39.35129035526705,80.52978515625001,forts,Marker,,,,,,,,{},
marker,58.56252272853734,65.96191406250001,settlement,Marker,,,,,,,,{},Settlements
marker,60.08676274626006,67.93945312500001,settlement,Marker,,,,,,,,{},Settlements
marker,62.103882522897884,77.60742187500001,settlement,Marker,,,,,,,,{},Settlements
marker,59.31076795603884,74.17968750000001,settlement,Marker,,,,,,,,{},Settlements
marker,58.06625598088457,83.03466796875001,settlement,Marker,,,,,,,,{},Settlements
marker,53.067626642387374,90.615234375,settlement,Marker,,,,,,,,{},Settlements
marker,50.064191736659104,96.30615234375001,settlement,Marker,,,,,,,,{},Settlements
marker,47.30903424774781,89.75830078125001,settlement,Marker,,,,,,,,{},Settlements
marker,47.62097541515849,80.77148437500001,settlement,Marker,,,,,,,,{},Settlements
marker,45.213003555993964,78.11279296875001,settlement,Marker,,,,,,,,{},Settlements
marker,-65.07213008560697,-85.49560546875001,settlement,Marker,,,,,,,,{},Settlements
marker,-65.62202261510642,-90.02197265625,settlement,Marker,,,,,,,,{},Settlements
marker,-62.73460087706358,-72.81738281250001,settlement,Marker,,,,,,,,{},Settlements
marker,-59.265880628258095,-12.041015625000002,settlement,Marker,,,,,,,,{},
marker,-39.23225314171489,102.06298828125001,settlement,Marker,,,,,,,,{},Settlements
marker,-37.94419750075404,110.12695312500001,settlement,Marker,,,,,,,,{},Settlements
marker,-40.64730356252251,108.14941406250001,settlement,Marker,,,,,,,,{},Settlements
marker,-38.37611542403603,112.98339843750001,settlement,Marker,,,,,,,,{},Settlements
marker,-43.02071359427861,110.10498046875001,settlement,Marker,,,,,,,,{},Settlements
marker,-43.9928145004899,113.26904296875,settlement,Marker,,,,,,,,{},Settlements
marker,-40.613952441166596,115.11474609375,settlement,Marker,,,,,,,,{},Settlements
marker,-21.47351753334985,79.82666015625001,settlement,Marker,,,,,,,,{},Settlements
marker,-17.832374329567507,70.79589843750001,settlement,Marker,,,,,,,,{},Settlements
marker,-14.157881896141461,73.27880859375001,settlement,Marker,,,,,,,,{},Settlements
marker,5.900188795584184,-8.415527343750002,settlement,Marker,,,,,,,,{},Settlements
marker,6.293458760393985,-9.799804687500002,settlement,Marker,,,,,,,,{},Settlements
marker,5.309766171943691,-9.514160156250002,settlement,Marker,,,,,,,,{},Settlements
marker,7.035475652433024,-9.492187500000002,settlement,Marker,,,,,,,,{},Settlements
marker,12.12526421833159,-9.316406250000002,settlement,Marker,,,,,,,,{},Settlements
marker,16.762467717941604,-15.139160156250002,settlement,Marker,,,,,,,,{},Settlements
marker,19.16592425362802,6.745605468750001,settlement,Marker,,,,,,,,{},Settlements
marker,16.846605106396304,10.898437500000002,settlement,Marker,,,,,,,,{},Settlements
marker,20.673905264672843,13.974609375000002,settlement,Marker,,,,,,,,{},Settlements
marker,-62.48187744898419,-38.6279296875,settlement,Marker,,,,,,,,{},Settlements
marker,-49.224772722794825,-20.676269531250004,settlement,Marker,,,,,,,,{},Settlements
marker,-21.493963563064455,5.229492187500001,settlement,Marker,,,,,,,,{},Settlements
marker,6.533645130567532,-59.80957031250001,settlement,Marker,,,,,,,,{},Settlements
marker,-34.361576287484176,-97.294921875,settlement,Marker,,,,,,,,{},Settlements
marker,-48.19538740833338,-91.23046875,settlement,Marker,,,,,,,,{},Settlements
marker,-49.65340458843789,-88.94531250000001,settlement,Marker,,,,,,,,{},Settlements
marker,-33.46810795527895,-19.577636718750004,settlement,Marker,,,,,,,,{},Settlements
marker,-17.308687886770024,81.40869140625001,settlement,Marker,,,,,,,,{},Settlements
marker,-11.092165893502,98.32763671875001,settlement,Patuxet,,,,,,,,{},Settlements
text,-36.63316209558656,80.48583984375001,,,AGUNNINAH,The shore of the island,1,0,0,0,,,
text,-30.55639356496612,86.15906705383222,,,KEITAHSIMET,Place of a great spring,1,0,0,0,,,
text,-33.683878797602844,87.25830078125001,,,KUPPEGON,A good enclosure for shelter/hitching,1,0,0,0,,,
text,-33.826306093105025,83.47902014719374,,,MANNASAAK,A bush/brush place,1,0,0,0,,,
text,-35.20392079049283,87.39013671875001,,,MASAPIQUOT,Skunk Place,1,0,0,0,,,
text,-30.98574465707345,85.56414875882236,,,SANCHIACATTUATUCK,Place where the wood is rotten,2,1,0,0,,,
text,-35.60305317595915,84.57763671875,,,SANNAMENACK,Eat much,1,0,0,0,,,
text,-33.265534318746575,87.67578125,,,SAQUENAUSAUQUANN,Early summer or lay rich eels,1,0,0,0,,,
text,-32.443381920868646,83.91877372965264,,,TAKEMMY,Cold water,1,0,0,0,,,
text,-35.341541170059855,92.57568359375,,,TASHQUIMMACASSICK,Black fish place,1,0,0,0,,,
text,-36.884590734726345,86.66503906250001,,,MASHIANAUKE,Big town,1,0,0,0,,,
text,-33.14658454653116,91.982421875,,,MASSAPOOTOOQUAK,Land of great blowing holes,1,0,0,0,,,
text,-35.627653332124524,88.77441406250001,,,MESPESHAUTUK,At the edge of the cliff,1,0,0,0,,,
text,-35.973363101354835,84.53369140625001,,,NASHANEAUPE,They went there,1,0,0,0,,,
text,-33.96914993605737,91.43310546875001,,,PAQUAAHUNAUK,Quahog land,1,0,0,0,,,
text,-34.354981477600404,80.46875000000001,,,PONANASAUSIG,To spread their wings,1,0,0,0,,,
text,-35.76384328188797,81.47949218750001,,,QUATAQUETUCA,Red crabs,1,0,0,0,,,
text,-32.416427957931774,87.14843750000001,,,SANSHUWACHU,Brook lodge,1,0,0,0,,,
text,-30.54,84.4,,,Demo,,1,0,0,0,,,
text,-63.05531863767043,85.9142663862525,,,Cappoaquit,,8,0,0,0,,,Geographical Locations
text,-78.38342792107784,-162.5682401582486,,,Canarsie,Canarsie Lenape homelands in present-day Brooklyn.,24,0,0,0,,,Tribes
text,-72.76643494811363,-71.73513141636457,,,Corchaug,Corchaug territory on the North Fork of Long Island.,24,0,0,0,,,Tribes
text,-56.32872090717995,-14.39208984375,,,Eastern Niantic,Eastern Niantic homelands along the Niantic River in Connecticut.,24,0,0,0,,,Tribes
text,-60.08676274626006,-60.60058593750001,,,Hammonasset,Hammonasset homelands along the central Connecticut shoreline.,24,0,0,0,,,Tribes
text,-69.16724012600773,-49.949353504869585,,,Manhanset,"Manhanset people of Shelter Island, between Long Island's forks.",24,0,0,0,,,Tribes
text,0.8649062261496583,-73.83331060386206,,,Manissean,Manissean (Manitou) homelands on Block Island.,24,0,0,0,,,Tribes
text,23.32208001137844,48.16406250000001,,,Massachusett,Massachusett homelands around the Shawmut Peninsula (Boston).,24,0,0,0,,,Tribes
text,-39.368279149160124,-39.46289062500001,,,Mashantucket Pequot,Mashantucket Pequot homelands near the Pawcatuck River.,24,0,0,0,,,Tribes
text,-79.65392213419594,-146.93163540003792,,,Matinecock,Matinecock homelands on Long Island's north shore.,24,0,0,0,,,Tribes
text,-76.01582449107187,-109.50898851393923,,,Merrick,Merrick (Merokee) territory on Long Island's south shore.,24,0,0,0,,,Tribes
text,-72.76619493972098,-36.42071459256301,,,Montaukett,Montaukett homelands at the eastern tip of Long Island.,24,0,0,0,,,Tribes
text,-29.229872274476822,-34.27734375000001,,,Mohegan,Mohegan homelands along the Thames River in Connecticut.,24,0,0,0,,,Tribes
text,-31.278550858946517,15.996093750000002,,,Narragansett,Narragansett homelands along the southern Rhode Island coast.,24,0,0,0,,,Tribes
text,-16.977487354364566,147.83354003549164,,,Nauset,Nauset (Cape Cod) Wampanoag homelands on the outer Cape.,24,0,0,0,,,Tribes
text,46.78550049126467,-39.515112036948125,,,Nipmuc,"Nipmuc homelands across central Massachusetts and northern Connecticut. Nipnet, Nipmook or Nipmuck",24,0,0,0,,,Tribes
text,-77.19570508665286,-143.9446752320028,,,Nissequogue,"Nissequogue homelands around present-day Smithtown, Long Island.",24,0,0,0,,,Tribes
text,-8.928234353216506,-71.35603845169659,,,Paugussett,Paugussett homelands along the lower Housatonic River.,24,0,0,0,,,Tribes
text,-54.825433284376075,-45.966796875,,,Pequot,Pequot homelands surrounding the lower Thames River.,24,0,0,0,,,Tribes
text,-2.986927393334863,-55.12939453125,,,Podunk,Podunk homelands on the east side of the Connecticut River.,24,0,0,0,,,Tribes
text,-19.6247252492234,-84.19921875000001,,,Pokanoket,Pokanoket (Wampanoag) homelands around Mount Hope and Narragansett Bay.,24,0,0,0,,,Tribes
text,-15.284185114076433,-90.17578125000001,,,Quinnipiac,Quinnipiac homelands at the mouth of the Quinnipiac River.,24,0,0,0,,,Tribes
text,-78.86850415610446,-131.1195136082202,,,Rockaway,Rockaway (Reckgawawank) Lenape homelands on the Rockaway Peninsula.,24,0,0,0,,,Tribes
text,-26.74561038219901,-62.49023437500001,,,Schaghticoke,Schaghticoke homelands near the confluence of the Housatonic and Ten Mile Rivers.,24,0,0,0,,,Tribes
text,-77.91475737592121,-115.48264463361654,,,Secatogue,Secatogue homelands around Islip on Long Island.,24,0,0,0,,,Tribes
text,-76.20596704314148,-78.13476562500001,,,Setalcott,Setalcott (Setauket) homelands on Long Island's north shore.,24,0,0,0,,,Tribes
text,-74.35586571660598,-50.12487053847663,,,Shinnecock,Shinnecock homelands near Shinnecock Bay on Long Island.,24,0,0,0,,,Tribes
text,-36.73490706670716,-90.48572927900707,,,Tunxis,Tunxis homelands in the Farmington River Valley.,24,0,0,0,,,Tribes
text,-74.21333248041581,-95.62940360654963,,,Unkechaug,Unkechaug (Poospatuck) homelands on Long Island's south shore.,24,0,0,0,,,Tribes
text,-75.29941037564522,-79.89257812500001,,,Unquachog,Unqua homelands near present-day Seaford and Massapequa.,24,0,0,0,,,Tribes
text,-12.639589501616912,59.67777346270703,,,Wampanoag,Wampanoag homelands across Plymouth and Bristol counties.,24,0,0,0,,,Tribes
text,-47.694974341862824,-52.29492187500001,,,Wangunk,Wangunk homelands along the lower Connecticut River.,24,0,0,0,,,Tribes
text,-60.321147194219755,-105.8073484903449,,,Wappinger,Wappinger homelands spanning southwestern Connecticut and the lower Hudson Valley.,24,0,0,0,,,Tribes
text,-57.657157596582984,-35.41992187500001,,,Western Niantic,Western Niantic homelands near the mouth of the Connecticut River.,24,0,0,0,,,Tribes
text,-67.16882345280554,-137.46032059196105,,,Siwanogs,,24,0,0,0,,,Tribes
text,17.602139123350852,11.975097656250002,,“the place of the hard rock”,Sagatabscot ,is a hill in the southeastern part of Worcester.[^¹],3,0,0,0,,,Mountains
text,21.105000275382064,13.183593750000002,,Quinsikamon,Quinsigamond,Quinsikamon,7,76,0,0,,,
text,68.07330474079025,-53.96484375000001,,,Monadnock,"g “place of the surpassing, or",14,0,0,0,,,
text,12.189703804004086,20.214843750000004,,"""Place of Small Stones""",Hassanamesit ,,7,0,0,0,,,
text,0.6591651462894632,-15.380859375000002,,“to a black deposit between two hills”,Tantiusques,,5,0,0,0,,,Mountains
text,42.06560675405716,38.3203125,,,Nagog,,6,0,0,0,,,
text,31.50362930577303,-61.56738281250001,,,Unquomonk,,7,0,0,0,,,Mountains
text,-50.14874640066278,57.67822265625001,,"""where the water pours forth""",Sakonnet," 'Sekonnet', 'Seaconnet', 'Sakonnet', 'Saconnet', 'Sakonett', or 'Segonet'.",15,0,0,0,,,Tribes
text,-54.673830965931145,10.217285156250002,," ""land in the middle"" or ""land between""",Ashawague ,,6,0,0,0,,,
text,-64.73664139557683,-56.29394531250001,,,Massauqunnock,,6,0,0,0,,,Geographical Locations
text,-63.97596090918337,-62.22656250000001,,,Kuttomquch ,,6,0,0,0,,,Geographical Locations
text,-58.75680543225761,125.74951171875001,,,Mooskeiakit,,5,0,0,0,,,Geographical Locations
text,33.284619968887675,-21.90673828125,,"""marshy, damp bog,"" or ""a bulging cove or pond.""",Pottapaug,Pottapogue Pottapoug,6,0,0,0,,,Bodies of Water
text,49.62494564650146,86.11083984375001,,,Chebaco,,6,0,0,0,,,Settlements
text,-74.1040150160411,-36.62841796875001,,,Towd,,4,0,0,0,,,
text,-74.06786624952264,-35.09033203125001,,,Mattock,,4,0,0,0,,,
text,-74.44935750063424,-35.31005859375001,,,Missipaug,,4,0,0,0,,,
text,-72.82256413229331,-31.442871093750004,,,Noyack,,4,0,0,0,,,
text,-75.49165372814439,-44.09912109375,,,Niamuck,,4,0,0,0,,,
text,-76.07966773378998,-43.90136718750001,,,Ponquogue,,4,0,0,0,,,
text,-75.1238641082958,-38.38623046875001,,,Seponack,,4,0,0,0,,,
text,-75.53013598609306,-32.98095703125001,,,Wickapogue,,4,0,0,0,,,
text,-75.1633002462206,-123.02490234375001,,,Sewanhaka,,5,0,0,0,,,
text,-75.85054080189762,-121.02539062500001,,,Sagamore,,6,45,0,0,,,
text,-74.5959455601744,-119.17968750000001,,,Caumsett,,7,0,0,0,,,
text,-77.32698957951607,-140.42724609375003,,,Madnank,,5,0,0,0,,,
text,-76.03201380959756,-45.28564453125,,,Tianna,,4,35,0,0,,,
text,-76.80575496970872,-50.42724609375001,,,Achabachawesuck,,4,0,0,0,,,
text,-77.05419428289703,-51.19628906250001,,,Quogue,,4,0,0,0,,,
text,-3.4037578795775887,142.07519531250003,,,Pamet,,7,0,0,0,,,Settlements
text,0.615222552406841,133.83544921875003,,,Meeshawn,,7,0,0,0,,,Settlements
text,-2.7016350479445204,144.44824218750003,,“a place of springs.”,Tashmuit,The highlands of Pamet ,6,45,0,0,,,Geographical Locations
text,-6.7737162387535,144.49218750000003,,,Pamet,,13,0,0,0,,,Territories
text,-45.93587062119053,50.42724609375001,,,Aquidnet,,11,0,0,0,,,Geographical Locations
text,-54.87660665410869,98.17382812500001,,,NOEPE,,32,0,0,0,,,
